Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed
30-Sep-17,14:30,Adelaide,Richmond,MCG,60,108,Y,8,12,16,12, 1.64 , 2.26 ,14
23-Sep-17,16:45,Richmond,GWS Giants,MCG,103,67,Y,15,13,9,13, 1.54 , 2.50 ,14
22-Sep-17,19:20,Adelaide,Geelong,Adelaide Oval,136,75,Y,21,10,10,15, 1.43 , 2.85 ,14
16-Sep-17,19:25,GWS Giants,West Coast,Spotless Stadium,125,58,Y,19,11,9,4, 1.42 , 2.88 ,14
15-Sep-17,19:50,Geelong,Sydney,MCG,98,39,Y,15,8,5,9, 3.10 , 1.37 ,13
09-Sep-17,19:20,Port Adelaide,West Coast,Adelaide Oval,76,78,Y,10,16,12,6, 1.47 , 2.68 ,14
09-Sep-17,16:20,Sydney,Essendon,SCG,121,56,Y,19,7,8,8, 1.16 , 5.24 ,14
08-Sep-17,19:50,Geelong,Richmond,MCG,40,91,Y,5,10,13,13, 1.79 , 2.01 ,14
07-Sep-17,19:20,Adelaide,GWS Giants,Adelaide Oval,84,48,Y,12,12,6,12, 1.54 , 2.48 ,14
27-Aug-17,14:40,West Coast,Adelaide,Domain Stadium,100,71,,15,10,10,11, 1.87 , 1.93 ,13
27-Aug-17,15:20,Richmond,St Kilda,MCG,122,81,,19,8,12,9, 1.50 , 2.56 ,13
27-Aug-17,13:10,Essendon,Fremantle,Etihad Stadium,107,92,,16,11,14,8, 1.10 , 6.96 ,13
26-Aug-17,19:40,Port Adelaide,Gold Coast,Adelaide Oval,135,20,,20,15,3,2, 1.05 , 10.47 ,13
26-Aug-17,19:25,Geelong,GWS Giants,Simonds Stadium,103,59,,15,13,8,11, 2.21 , 1.66 ,13
26-Aug-17,16:35,Sydney,Carlton,SCG,138,57,,21,12,8,9, 1.06 , 9.19 ,13
26-Aug-17,14:10,Brisbane,North Melbourne,Gabba,79,130,,11,13,19,16, 1.44 , 2.80 ,13
26-Aug-17,13:45,Collingwood,Melbourne,MCG,99,83,,14,15,12,11, 3.10 , 1.37 ,13
25-Aug-17,19:50,Hawthorn,Western Bulldogs,Etihad Stadium,99,90,,15,9,13,12, 1.89 , 1.91 ,13
20-Aug-17,14:40,Fremantle,Richmond,Domain Stadium,51,155,,7,9,25,5, 3.98 , 1.24 ,15
20-Aug-17,15:20,St Kilda,North Melbourne,Etihad Stadium,127,78,,18,19,12,6, 1.32 , 3.33 ,15
20-Aug-17,13:10,Melbourne,Brisbane,MCG,104,91,,16,8,14,7, 1.11 , 6.44 ,15
19-Aug-17,19:25,Carlton,Hawthorn,Etihad Stadium,77,70,,12,5,10,10, 3.73 , 1.27 ,15
19-Aug-17,19:25,Gold Coast,Essendon,Metricon Stadium,57,90,,9,3,12,18, 3.13 , 1.36 ,15
19-Aug-17,16:35,GWS Giants,West Coast,Spotless Stadium,81,60,,12,9,9,6, 1.19 , 4.74 ,15
19-Aug-17,14:10,Collingwood,Geelong,MCG,59,70,,9,5,10,10, 2.57 , 1.50 ,15
19-Aug-17,13:45,Western Bulldogs,Port Adelaide,Eureka Stadium,79,96,,11,13,14,12, 1.90 , 1.88 ,15
18-Aug-17,19:20,Adelaide,Sydney,Adelaide Oval,80,83,,11,14,13,5, 1.61 , 2.30 ,15
13-Aug-17,16:10,Port Adelaide,Collingwood,Adelaide Oval,98,71,,14,14,10,11, 1.35 , 3.16 ,15
13-Aug-17,15:20,Hawthorn,North Melbourne,University of Tasmania Stadium,116,89,,18,8,14,5, 1.34 , 3.21 ,15
13-Aug-17,13:10,Melbourne,St Kilda,MCG,96,72,,14,12,10,12, 1.57 , 2.43 ,14
12-Aug-17,19:40,West Coast,Carlton,Domain Stadium,100,83,,15,10,12,11, 1.12 , 6.21 ,15
12-Aug-17,19:25,Essendon,Adelaide,Etihad Stadium,80,123,,12,8,18,15, 3.70 , 1.27 ,15
12-Aug-17,16:35,Brisbane,Gold Coast,Gabba,142,84,,22,10,12,12, 1.46 , 2.69 ,15
12-Aug-17,14:10,Geelong,Richmond,Simonds Stadium,80,66,,11,14,9,12, 2.25 , 1.64 ,15
12-Aug-17,13:45,Sydney,Fremantle,SCG,143,39,,22,11,5,9, 1.05 , 9.58 ,15
11-Aug-17,19:50,Western Bulldogs,GWS Giants,Etihad Stadium,57,105,,7,15,16,9, 2.20 , 1.66 ,15
06-Aug-17,16:10,Adelaide,Port Adelaide,Adelaide Oval,130,46,,18,22,7,4, 1.51 , 2.54 ,15
06-Aug-17,15:20,Richmond,Hawthorn,MCG,93,64,,13,15,9,10, 1.69 , 2.16 ,15
06-Aug-17,13:10,St Kilda,West Coast,Etihad Stadium,103,95,,15,13,14,11, 1.71 , 2.13 ,15
05-Aug-17,17:40,Fremantle,Gold Coast,Domain Stadium,90,67,,12,18,10,7, 1.54 , 2.47 ,15
05-Aug-17,19:25,North Melbourne,Collingwood,Etihad Stadium,57,111,,7,15,16,15, 2.81 , 1.43 ,15
05-Aug-17,16:35,Brisbane,Western Bulldogs,Gabba,89,103,,13,11,14,19, 4.10 , 1.23 ,15
05-Aug-17,14:10,Essendon,Carlton,MCG,84,76,,11,18,11,10, 1.22 , 4.25 ,15
05-Aug-17,13:45,GWS Giants,Melbourne,Manuka Oval,97,62,,14,13,10,2, 1.66 , 2.21 ,15
04-Aug-17,19:50,Geelong,Sydney,Simonds Stadium,61,107,,8,13,16,11, 2.27 , 1.63 ,15
30-Jul-17,14:40,West Coast,Brisbane,Domain Stadium,113,45,,17,11,6,9, 1.07 , 8.25 ,15
30-Jul-17,15:20,Collingwood,Adelaide,MCG,103,103,,15,13,16,7, 2.59 , 1.50 ,15
30-Jul-17,13:10,Western Bulldogs,Essendon,Etihad Stadium,127,97,,19,13,13,19, 2.14 , 1.70 ,15
29-Jul-17,19:25,Carlton,Geelong,Etihad Stadium,58,123,,8,10,18,15, 3.71 , 1.27 ,15
29-Jul-17,19:25,Gold Coast,Richmond,Metricon Stadium,65,98,,10,5,14,14, 2.83 , 1.42 ,15
29-Jul-17,16:45,Port Adelaide,St Kilda,Adelaide Oval,63,61,,9,9,8,13, 1.16 , 5.15 ,15
29-Jul-17,14:10,GWS Giants,Fremantle,Spotless Stadium,98,86,,13,20,13,8, 1.09 , 7.23 ,15
29-Jul-17,13:45,North Melbourne,Melbourne,Blundstone Arena,76,72,,11,10,10,12, 3.07 , 1.37 ,15
28-Jul-17,19:50,Hawthorn,Sydney,MCG,72,66,,10,12,9,12, 2.73 , 1.45 ,15
23-Jul-17,16:40,Brisbane,Carlton,Gabba,112,82,,17,10,11,16, 1.97 , 1.81 ,15
23-Jul-17,15:20,Collingwood,West Coast,Etihad Stadium,93,85,,13,15,13,7, 1.87 , 1.92 ,15
23-Jul-17,13:10,Richmond,GWS Giants,MCG,64,45,,9,10,6,9, 2.24 , 1.64 ,15
22-Jul-17,17:40,Fremantle,Hawthorn,Domain Stadium,48,100,,7,6,15,10, 2.09 , 1.73 ,15
22-Jul-17,19:25,Sydney,St Kilda,SCG,101,59,,14,17,9,5, 1.21 , 4.36 ,15
22-Jul-17,16:05,Western Bulldogs,Gold Coast,Cazaly’s Stadium,110,56,,16,14,8,8, 1.27 , 3.68 ,15
22-Jul-17,14:10,Melbourne,Port Adelaide,MCG,88,65,,13,10,9,11, 2.22 , 1.65 ,14
22-Jul-17,13:45,Essendon,North Melbourne,Etihad Stadium,132,105,,20,12,16,9, 1.19 , 4.78 ,15
21-Jul-17,19:50,Adelaide,Geelong,Adelaide Oval,91,70,,13,13,10,10, 1.52 , 2.53 ,15
16-Jul-17,14:40,Fremantle,West Coast,Domain Stadium,44,74,,5,14,11,8, 3.21 , 1.35 ,15
16-Jul-17,15:20,Carlton,Western Bulldogs,MCG,62,82,,9,8,12,10, 2.38 , 1.57 ,15
16-Jul-17,13:10,Richmond,Brisbane,Etihad Stadium,112,81,,16,16,12,9, 1.14 , 5.46 ,15
15-Jul-17,19:10,Melbourne,Adelaide,TIO Stadium,70,116,,10,10,17,14, 3.29 , 1.33 ,15
15-Jul-17,19:25,GWS Giants,Sydney,Spotless Stadium,83,96,,12,11,14,12, 2.09 , 1.73 ,15
15-Jul-17,16:35,Gold Coast,Collingwood,Metricon Stadium,88,103,,13,10,15,13, 1.79 , 2.00 ,15
15-Jul-17,14:10,Port Adelaide,North Melbourne,Adelaide Oval,127,57,,19,13,8,9, 1.12 , 6.19 ,15
15-Jul-17,13:45,Geelong,Hawthorn,MCG,88,85,,13,10,12,13, 1.36 , 3.13 ,15
14-Jul-17,19:50,St Kilda,Essendon,Etihad Stadium,57,118,,7,15,17,16, 1.78 , 2.02 ,15
